GeneID	Bulk RNA-seq IU_Finnerty_Estrus_n1	Bulk RNA-seq IU_Finnerty_Estrus_n2	Bulk RNA-seq IU_Finnerty_Estrus_n3	Bulk RNA-seq IA_Finnerty_Estrus_n1	Bulk RNA-seq IA_Finnerty_Estrus_n2	Bulk RNA-seq IA_Finnerty_Estrus_n3
Med21	718	619	1156	698	834	960
Gm6654	35	36	68	21	40	38
4930479D17Rik	0	3	4	0	2	2
Stk38l	1555	1985	2580	1034	1465	1144
Bmal2	82	112	180	45	38	87
Smco2	4	0	6	6	4	17
Ppfibp1	10123	8456	9525	3399	5874	4383
1700034J05Rik	1	0	0	0	0	1
Rep15	50	52	45	10	26	25
Mrps35	869	1115	1458	747	900	1018
Mansc4	37	56	69	34	23	33
Klhl42	1601	1848	3190	1374	1784	2159
E330012B07Rik	0	0	0	0	0	0
Pthlh	32	168	80	77	35	76
Ccdc91	1387	1955	2321	2019	2212	2609
1700049E15Rik	6	10	8	2	0	0
Far2	288	279	376	118	147	37
Ergic2	1495	1252	2031	1182	1536	1282
4732416N19Rik	8	4	6	6	6	3
Tmtc1	3413	2197	4168	1031	2150	2474
Rps4l	968	1028	1447	963	1122	1019
Gm6313	0	0	0	0	0	0
Ipo8	1704	1773	2645	1729	2278	2185
Caprin2	1845	2323	5835	1877	933	1984
Sinhcaf	837	860	1528	1791	1965	2417
3010003L21Rik	80	128	189	85	98	111
Dennd5b	975	1063	1753	685	1089	1017
Etfbkmt	1887	1935	2975	2155	2679	4045
Amn1	301	319	460	323	485	525
Gm10388	8	4	6	8	6	6
Resf1	9404	6634	11130	2623	5138	3924
Bicd1	1025	789	1644	603	1082	613
Speer9-ps1	0	5	3	0	0	0
AU018091	0	8	0	2	0	0
Mir290a	0	0	0	0	0	0
D7Ertd143e	0	0	0	0	0	0
Mir291a	0	0	0	0	0	0
Mir292	0	0	0	0	0	0
Mir291b	0	0	0	0	0	0
Mir293	0	0	0	0	0	0
Mir294	0	0	0	0	0	0
Mir295	0	0	0	0	0	0
Nlrp12	0	6	14	0	0	0
Myadm	9060	11079	17541	4671	5231	3886
Prkcg	45	80	136	44	33	45
Cacng7	243	361	700	215	138	143
Cacng8	48	51	155	3	2	6
Cacng6	21	23	84	0	0	0
Tarm1	10	4	6	0	0	0
Oscar	10	3	12	3	10	13
Ndufa3	1594	1220	1839	1152	1346	1295
Tfpt	478	546	707	399	456	475
Prpf31	1291	1352	2204	1691	2004	1932
Cnot3	2728	2730	4124	2317	2927	2502
Mir3572	0	0	0	0	0	0
Leng1	687	674	867	342	479	413
Tmc4	8719	10047	9418	6840	7781	8474
Mboat7	1968	2764	3525	2576	2512	3103
Tsen34	2704	3141	4717	2568	2943	4054
Rps9	8225	9620	13942	6218	7492	9044
NA	0	0	0	0	0	0
Pirb	348	493	469	83	93	74
Pira1	1	2	2	4	0	0
Pira13	2	0	6	1	4	0
Pira2	3	5	0	3	1	0
Gm10693	0	0	0	0	0	0
Pira12	1	6	8	0	2	0
Lilra6	42	16	22	0	4	0
Lair1	181	192	182	58	78	51
9430041J12Rik	0	0	4	6	11	9
Ttyh1	292	357	320	869	822	288
D030047H15Rik	14	31	27	26	24	15
Leng8	16720	16460	29977	15282	17348	15839
Leng9	399	329	545	302	392	291
Cdc42ep5	710	851	1011	415	557	587
Lilra5	69	79	84	46	45	44
Pira6	32	34	15	6	8	0
Ncr1	15	10	31	4	8	4
Gp6	2	0	0	0	4	1
Rdh13	730	650	1245	521	696	687
Eps8l1	1064	951	1727	511	659	533
D630041G03Rik	12	24	26	9	13	19
Ppp1r12c	4943	5010	9089	2028	2642	2528
Tnnt1	210	290	693	126	77	64
Tnni3	127	139	282	452	547	922
Dnaaf3	752	721	1434	4162	4831	7118
Syt5	147	147	332	883	570	1299
Ptprh	9	10	11	27	42	44
Tmem86b	78	107	100	66	129	101
Ppp6r1	6161	7497	11189	12265	12053	13980
Hspbp1	1104	1065	1803	2230	2246	2577
Brsk1	267	295	550	171	271	226
Tmem150b	13	19	21	8	4	13
Kmt5c	1649	1546	2445	1206	1508	1547
Cox6b2	213	300	395	216	183	158
Garin5b	1	2	0	2	1	1
Il11	20	9	19	2	8	7
NA	0	0	0	0	0	0
Tmem190	21	11	14	20	11	14
Tmem238	637	515	974	678	609	435
Rpl28	12669	15507	21896	9944	10941	13378
Ube2s	543	451	725	520	620	556
Shisa7	37	68	227	31	18	58
Isoc2b	440	733	1135	531	468	965
Isoc2a	591	615	1148	459	372	569
Zfp628	1205	1430	2046	1385	1399	1238
Nat14	281	413	634	394	396	304
Ssc5d	1312	2032	2523	1000	943	436
Sbk2	4	2	8	4	0	0
Sbk3	22	78	85	27	30	91
Zfp579	1653	1834	2619	1523	1544	1760
Fiz1	1118	1321	1958	1253	1376	1570
Zfp524	455	780	812	504	444	771
Zfp865	1990	2176	3598	1696	2018	2000
Zfp784	416	578	927	428	380	575
Zfp580	578	640	1006	357	322	337
Ccdc106	494	543	1077	294	267	118
U2af2	5842	5439	8966	5730	7063	7069
Epn1	6734	6618	10249	6249	6728	7378
Rfpl4	0	0	0	0	0	2
NA	4	5	4	9	9	9
Rasl2-9	8	14	12	2	11	22
Vmn1r55	0	0	0	1	0	0
Vmn1r56	0	0	0	0	0	0
Vmn1r57	0	0	1	0	0	0
Nlrp2	0	0	0	0	0	0
Gm5065	0	0	0	0	0	0
Vmn1r58	0	0	0	0	0	0
Vmn1r59	0	0	0	0	0	0
Vmn2r28	0	0	0	0	0	0
Vmn1r60	0	0	0	0	0	0
Vmn1r61	0	0	0	0	0	0
Vmn1r62	0	0	0	0	0	0
Vmn1r63	1	0	0	0	0	0
Vmn1r64	0	0	0	0	0	0
Vmn1r65	0	0	0	0	0	0
Gm5321	2	3	1	2	3	4
Nlrp4c	0	0	2	0	0	0
Zfp787	925	1125	1691	1059	1191	1697
Zfp444	651	1032	1258	1110	1230	1834
NA	23	29	36	17	53	38
Galp	0	0	0	0	0	0
Zscan5b	0	0	0	0	0	0
Eddm13	5	0	2	64	166	116
Zfp667	613	797	1000	797	1016	1203
Zfp583	167	247	361	106	178	131
Zfp78	91	111	128	71	75	134
Zfp28	208	339	444	207	194	262
Smim17	0	0	2	0	0	6
Or2bd2	0	2	0	0	0	6
Or6z3	0	0	0	0	0	0
Or6z5	0	0	0	0	0	0
Or6z7	0	0	0	0	0	0
Or6z6	0	0	0	0	0	0
Or6z1	0	0	0	0	0	0
Or10am5	0	0	0	0	0	0
Or5bw2	0	0	0	0	0	0
Zim1	4	2	4	4	4	0
Peg3	319	763	943	306	453	405
Peg3os	0	0	0	0	0	0
Usp29	0	3	2	3	4	3
Mir3099	0	0	0	0	0	0
Zim3	0	0	0	0	0	0
Aurkc	2	0	4	4	6	0
Zfp954	578	630	774	415	515	697
Zfp773	45	66	64	26	30	30
Zfp418	75	115	186	114	166	134
Zfp772	301	350	533	333	341	533
Vmn2r29	142	170	250	122	145	195
Clcn4	4258	3934	5340	3260	4262	3087
Vmn2r30	2	1	2	5	0	1
Vmn2r31	2	0	2	0	1	1
Vmn2r32	0	0	0	2	0	0
Vmn2r33	0	0	2	1	0	0
Vmn2r34	0	0	0	0	0	0
Vmn2r35	0	0	0	0	0	0
Vmn2r36	0	0	0	0	0	0
Gm45351	6	4	2	2	2	4
Vmn2r41	1	0	1	0	0	0
Vmn2r42	0	0	0	0	0	0
Vmn2r43	0	0	0	0	0	0
Vmn2r44	0	1	0	0	2	0
Vmn2r45	0	0	0	0	0	0
Vmn2r40	0	0	0	0	0	0
Vmn2r39	0	0	1	0	0	0
Vmn2r38	0	0	0	0	0	0
Vmn2r37	0	0	0	0	0	0
NA	0	0	0	0	0	0
Vmn2r46	0	0	1	1	0	4
Vmn2r47	0	0	0	0	0	0
NA	3	0	2	0	0	0
Vmn2r48	0	0	0	0	0	0
Vmn2r49	0	0	0	0	0	0
Vmn2r50	0	0	0	0	0	0
Vmn2r51	0	0	0	0	0	0
Vmn2r52	0	0	0	0	0	0
Vmn1r66	0	0	0	0	0	0
Nlrp4d	0	0	0	0	0	0
Vmn1r67	0	0	0	0	0	0
Zik1	87	118	244	57	60	74
Vmn1r68	0	0	0	0	0	0
Vmn1r69	0	0	0	0	0	0
Vmn1r70	0	0	0	0	0	0
Nlrp4b	0	1	0	1	0	0
Vmn1r71	0	0	2	0	0	0
Zscan4a	0	0	2	0	0	0
Zscan4b	0	0	0	0	0	0
Gm7789	0	0	0	0	0	0
Zscan4c	0	0	0	0	0	0
Zscan4d	0	0	0	0	0	0
Gm6909	0	0	0	0	0	0
Zscan4e	0	0	0	0	0	0
Zscan4f	0	0	0	0	0	0
NA	0	0	0	0	0	0
Vmn1r72	0	2	1	0	0	0
Vmn1r73	0	0	0	0	0	0
Gm6929	6	4	5	2	2	1
Vmn1r74	0	0	0	0	0	0
Vmn1r75	0	0	0	0	0	0
Vmn1r76	0	0	0	0	0	0
Vmn1r77	0	0	0	0	0	0
Vmn1r78	0	0	0	0	0	0
Vmn1r79	0	0	0	0	0	0
Vmn1r80	0	0	0	0	0	0
Gm4224	0	0	0	0	0	0
Vmn1r81	0	0	0	0	0	0
Vmn1r82	0	0	0	0	0	0
Vmn1r83	0	0	0	0	0	0
Vmn1r84	0	0	0	0	0	0
Zfp551	138	148	241	143	119	166
Zfp606	663	905	1264	641	719	1092
2900092C05Rik	0	0	0	0	0	0
Vmn2r53	0	0	0	0	0	0
Vmn2r54	0	0	0	0	0	0
Vmn2r55	0	0	0	0	0	0
Vmn2r56	0	0	0	0	0	0
Zscan18	227	374	572	560	689	941
Zfp329	1083	1090	1980	887	1137	906
Zfp110	1772	2474	2895	1255	1389	1912
Zfp128	151	245	361	132	148	144
Zscan22	407	532	934	526	606	556
Rps5	2934	3671	5212	2556	2766	3577
NA	1	0	1	0	2	0
Rnf225	106	58	48	88	86	81
Zfp324	742	953	1125	909	900	810
Zfp446	626	933	1258	1199	1386	1697
Slc27a5	0	4	3	5	0	7
Zbtb45	720	870	1286	837	869	1010
Trim28	7858	7860	12710	7097	7873	8713
Chmp2a	4402	4002	5784	4349	4791	5396
Ube2m	3750	3203	5114	3903	4308	3488
Mzf1	191	155	326	603	573	834
Vmn1r85	0	0	0	0	0	0
Vmn1r86	0	0	0	0	0	0
Vmn1r87	0	0	0	0	0	0
Vmn1r88	0	0	0	0	0	0
Vmn1r89	0	0	0	0	1	0
Zswim9	330	555	876	585	635	849
Lig1	574	920	1098	795	775	1205
Pla2g4c	18	28	27	13	23	37
Cabp5	0	0	0	0	0	0
Bsph1	0	0	0	0	0	0
Bsph2	0	0	0	0	0	0
Sult2a5	0	0	0	0	0	0
Sult2a2	0	0	0	0	0	0
Sult2a1	0	0	0	0	0	0
Sult2a4	0	0	0	0	0	0
Sult2a3	0	0	0	0	0	0
Sult2a6	0	0	0	0	0	0
NA	0	0	2	0	0	0
Obox8	0	0	0	0	0	0
Sult2a8	0	0	0	0	0	0
Sult2a7	0	0	0	0	0	0
Nlrp5-ps	58	60	67	28	32	12
Vmn1r90	0	0	0	0	0	0
Obox7	0	0	0	0	0	0
Obox2	0	0	0	0	0	0
Obox1	0	0	0	0	0	0
Obox3	0	0	0	0	0	0
Obox5	0	0	0	0	0	0
NA	0	0	0	0	0	0
Obox6	0	0	0	0	0	0
Crx	0	0	0	0	0	0
Crxos	1	0	0	0	0	0
Selenow	6958	7905	11832	4916	4547	5251
Nop53	5970	10736	12262	5538	6541	10774
Snord23	0	1	1	4	2	4
Ehd2	6989	4991	7290	2378	4442	1611
Bicra	1746	2180	3292	1723	2039	1612
Zfp541	4	4	0	0	2	8
Napa	4043	4396	6384	3794	4271	4929
Kptn	446	465	671	375	463	459
Slc8a2	1018	907	1076	236	407	121
Meis3	342	595	778	254	299	336
Dhx34	875	1217	1431	991	1166	1572
C5ar2	55	61	86	13	43	28
C5ar1	178	118	105	61	64	32
Inafm1	1137	1933	2369	1061	1023	1580
Ccdc9	1609	2225	2841	1270	1652	2080
Bbc3	379	766	929	1105	1226	1782
Sae1	2521	2234	3831	2613	2760	2876
NA	84	73	106	63	83	91
Zc3h4	4194	4443	7382	3757	4507	4636
Tmem160	627	670	879	623	518	582
Npas1	10	30	27	28	26	37
Arhgap35	5005	6212	9836	7758	9161	10163
Ceacam-ps1	0	0	0	0	0	0
Ceacam15	0	0	0	0	0	0
Ceacam9	0	2	2	0	0	0
Ap2s1	3659	3425	4567	2615	2974	2894
Slc1a5	9972	8135	11008	10797	14747	10325
NA	4	1	2	5	1	2
Fkrp	1383	1477	2331	1565	1837	1985
Strn4	3695	3699	5974	3422	4153	3822
Prkd2	1178	1486	2130	1037	1234	1366
9330104G04Rik	63	170	130	87	58	127
Dact3	3020	5885	6636	1633	1157	703
Gng8	87	165	205	57	50	11
Ptgir	95	381	277	130	37	61
Calm3	17189	17112	26166	33162	35399	43925
Pnma8b	986	1716	2176	1474	1330	1647
Pnma8a	0	6	6	13	17	13
Ccdc8	771	872	1162	382	585	204
Ppp5c	2280	2213	3803	2946	2990	3402
NA	0	0	0	0	0	0
Hif3a	168	277	1514	138	122	103
Psg16	10	4	46	2	2	4
Ceacam3	5	0	0	0	0	0
Psg29	0	0	0	0	0	0
Gm9519	0	0	0	0	0	0
Psg-ps1	0	0	0	0	0	0
Ceacam5	0	0	0	0	0	0
Ceacam14	0	0	0	0	0	0
Gm5155	0	2	0	0	0	0
Ceacam11	0	0	0	0	0	0
Ceacam13	0	0	0	0	0	0
Ceacam12	0	0	0	0	0	0
Igfl3	0	0	0	0	0	0
Mill1	0	2	0	0	0	0
Psg18	0	0	0	0	0	0
Psg28	0	0	0	0	0	0
Psg26	0	0	0	0	0	0
Psg25	0	2	0	0	0	0
Psg27	0	0	0	0	0	0
Psg23	0	0	0	0	0	0
Psg21	0	0	0	0	0	0
Psg20	0	0	0	2	3	8
Psg22	2	2	0	0	0	3
Sycp1-ps1	0	0	0	0	0	0
Psg19	2	0	2	0	0	2
Psg17	26	2	140	0	2	0
Mill2	140	321	474	113	76	59
Pglyrp1	776	1167	1385	273	298	190
Ccdc61	562	639	959	633	736	1078
Nova2	195	356	504	220	227	312
Nanos2	2	2	0	7	0	10
Mypop	501	834	1061	612	636	676
Irf2bp1	2032	2412	3627	1910	2209	2734
Foxa3	148	103	91	82	145	20
Sympk	4780	5504	8170	8808	9671	10102
Rsph6a	2	0	2	2	1	1
Dmwd	1618	2097	3289	2214	2283	3131
Dmpk	13770	18102	25429	7346	6758	2656
Mir3100	13	10	28	16	6	11
Six5	1634	2310	3440	2029	1677	2012
Fbxo46	656	861	1135	670	844	996
Qpctl	712	703	886	810	828	743
Snrpd2	1954	1586	3160	2111	2354	2668
Gipr	4	2	12	26	37	32
Eml2	2736	2967	4846	9736	11083	15230
Mir330	0	2	4	19	28	38
Gpr4	333	503	737	447	266	502
Opa3	1561	1294	2157	1551	1876	1523
Vasp	5936	6761	9363	3833	4356	3395
Ppm1n	0	2	5	0	0	10
Rtn2	366	988	596	266	357	276
Fosb	45	58	189	34	67	28
Ercc1	441	605	841	524	654	589
Polr1g	549	588	967	396	571	615
Ppp1r13l	776	818	1119	1404	1663	2229
Ercc2	861	949	1540	1083	1267	1198
Mir343	1	1	6	4	3	1
Klc3	246	489	673	1155	1240	2076
Ckm	10	19	93	14	0	6
A930016O22Rik	0	4	4	2	3	2
Mark4	1140	1319	2142	1079	1300	1316
Exoc3l2	212	171	300	94	175	52
Bloc1s3	502	485	682	661	619	808
Trappc6a	784	1134	1473	1334	1256	1695
Nkpd1	28	26	56	20	50	38
Ppp1r37	3853	4568	6826	4237	5472	6131
Gemin7	1124	1203	1823	1250	1309	1430
Zfp296	46	58	100	33	45	72
Clasrp	1469	1668	2848	1191	1394	1356
Relb	536	771	909	376	349	507
Clptm1	5019	4761	6479	5519	6197	5241
Apoc2	16	6	4	2	8	4
Apoc4	0	0	0	0	0	0
Apoc1	6	18	40	4	6	6
Apoe	11156	27042	39674	7109	5539	9724
Tomm40	1840	1469	2562	1978	2596	2067
Nectin2	2922	3490	4587	2670	2569	3749
Bcam	11938	15026	18161	18969	14301	22148
Cblc	758	1065	1005	392	520	746
Bcl3	313	504	550	243	140	113
Gm19345	2	4	8	10	0	1
Ceacam16	5	4	10	1	0	0
Ceacam19	31	77	54	0	6	0
Pvr	1018	1061	1295	1354	1601	1476
Igsf23	29	44	73	152	132	293
Ceacam20	6	7	18	40	55	97
Nlrp9b	8	11	18	50	60	48
Vmn1r91	2	0	0	0	0	0
Vmn1r240	0	0	0	0	0	0
Vmn1r93	0	0	0	0	0	0
Vmn1r94	0	0	0	0	0	0
Vmn1r95	0	0	0	0	0	0
Vmn1r241	0	0	0	0	0	0
Vmn1r242	0	0	0	0	0	0
Gm5890	0	0	0	0	0	0
Vmn1r243	0	0	0	0	0	0
Vmn1r-ps79	0	0	0	0	0	0
Vmn1r244	0	0	0	0	0	0
Vmn1r100	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0
Gm10670	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0
Vmn1r245	0	0	0	0	0	0
Vmn1r246	0	0	0	0	0	0
NA	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0
Vmn1r111	0	0	0	0	0	0
Gm10668	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0
Vmn1r118	0	0	0	0	0	0
Vmn1r119	0	0	0	0	0	0
Vmn1r120	0	0	0	0	0	0
Vmn1r121	0	0	0	0	0	0
Vmn1r122	0	0	0	0	0	0
Vmn1r123	0	0	0	0	0	0
Gm5157	0	0	0	0	0	0
Vmn1r124	0	0	0	0	0	0
Vmn1r125	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0
Vmn1r129	0	0	0	0	0	0
Gm6882	0	0	0	0	0	0
Gm4541	0	0	0	0	0	0
Vmn1r130	0	0	0	0	0	0
Vmn1r131	0	0	0	0	0	0
Vmn1r132	0	0	0	0	0	0
Vmn1r247	0	0	0	0	0	0
Vmn1r248	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0
Vmn1r249	0	0	0	0	0	0
Gm5891	0	0	0	0	0	0
Gm16443	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0
Vmn1r138	0	0	0	0	0	0
Gm6176	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0
Gm16451	0	0	0	0	0	0
Vmn1r250	0	0	0	0	0	0
Vmn1r142	0	0	0	0	0	0
Vmn1r143	0	0	0	0	0	0
Vmn1r251	0	0	0	0	0	0
Vmn1r252	0	0	0	0	0	0
Gm4557	0	0	0	0	0	0
Vmn1r253	0	0	0	0	0	0
Vmn1r254	0	0	0	0	0	0
Vmn1r148	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0
Gm10665	0	0	0	0	0	0
Vmn1r151	0	0	0	0	0	0
Vmn1r152	0	0	0	0	0	0
Vmn1r255	0	0	0	0	0	0
Vmn1r256	0	0	0	0	0	0
Gm4565	0	0	0	0	0	0
Vmn1r155	0	0	0	0	0	0
Vmn1r257	0	0	0	0	0	0
Gm4567	0	0	0	0	0	0
Vmn1r157	0	0	0	0	0	0
Vmn1r158	0	0	0	0	0	0
Vmn1r159	0	0	0	0	0	0
Vmn1r160	0	0	0	0	0	0
Vmn1r258	0	0	0	0	0	0
Vmn1r259	0	0	0	0	0	0
Vmn1r163	0	0	0	0	0	0
Vmn1r260	0	0	0	0	0	0
Gm10662	0	0	0	0	0	0
Vmn1r165	0	0	0	0	0	0
Vmn1r166	0	0	0	0	0	0
Gm6902	0	0	0	0	0	0
Nlrp4e	0	0	0	0	0	0
Nlrp5	0	0	0	0	0	0
Vmn1r167	0	0	0	0	0	0
Vmn1r168	0	0	0	0	0	0
Vmn1r169	0	0	0	0	0	0
Vmn1r170	0	0	0	0	0	0
Vmn1r171	0	0	0	0	0	0
Vmn1r172	0	0	0	0	0	0
Vmn1r173	0	0	0	0	0	0
Vmn1r174	0	0	0	0	0	0
Vmn1r175	0	0	0	0	0	0
Vmn1r176	0	0	0	0	0	0
Vmn1r177	0	0	0	0	0	0
Vmn1r178	0	0	0	0	0	0
Vmn1r179	0	0	0	0	0	0
Gm10175	35	35	48	37	35	58
Vmn1r180	0	0	0	0	0	0
Vmn1r181	0	2	2	0	0	0
V1rd19	0	0	0	0	0	0
Vmn1r183	0	0	0	0	0	0
Zfp180	893	940	1367	708	899	762
Zfp112	126	204	332	165	194	252
Zfp235	316	423	556	251	350	423
Zfp114	24	19	33	15	14	13
Zfp111	781	769	1265	730	993	1014
Zfp109	165	170	267	224	295	325
Zfp108	179	180	294	145	180	190
Gm19733	12	18	27	14	4	20
Zfp93	294	452	564	378	439	680
Zfp61	269	436	648	389	399	515
Zfp94	136	225	365	273	331	429
Tescl	6	6	4	10	6	14
Lypd5	0	0	0	0	0	1
Kcnn4	2122	2240	2370	1848	1734	1752
Smg9	902	1129	1538	908	998	1112
NA	1	1	2	1	2	0
Irgc1	0	6	9	10	0	0
Plaur	112	205	298	166	122	102
Cadm4	401	682	1062	390	368	401
Zfp428	398	461	662	429	478	553
Irgq	2040	2376	2967	1883	2610	2193
Pinlyp	2	6	6	8	4	13
Xrcc1	1408	1697	2353	1787	2011	2204
Zfp575	104	119	163	35	44	17
Ethe1	437	605	817	266	308	319
Phldb3	399	483	493	222	207	252
Lypd3	10	17	12	2	2	8
Gm4598	0	0	2	0	1	0
Tex101	0	0	0	0	0	0
Gm1096	0	0	0	0	0	0
Lypd10	0	0	0	0	0	0
Lypd11	0	0	0	0	0	0
Cd177	26	21	70	310	287	714
Ceacam10	6	20	12	0	0	10
Lypd4	0	1	0	0	1	0
Dmrtc2	0	0	0	0	0	0
Rps19	12770	13062	19460	8941	9877	11314
Cd79a	19	21	17	15	2	7
Arhgef1	3473	3911	6085	2936	3481	3758
Erfl	0	3	1	0	0	0
Rabac1	3100	5009	6258	5008	4468	7107
Atp1a3	68	59	94	20	16	15
Grik5	967	1830	2662	1055	985	1242
Zfp574	1261	1498	2322	1218	1349	1488
Pou2f2	144	129	294	42	46	39
D930028M14Rik	0	0	2	4	0	2
NA	141	206	304	388	385	655
Dedd2	430	656	843	1213	1220	1814
Zfp526	704	888	1357	791	871	966
Gsk3a	2092	2276	3381	1991	2206	2190
9130221H12Rik	137	224	333	191	192	309
Erf	2225	2196	3476	2571	3627	4239
NA	183	192	347	138	232	130
Cic	7134	9213	11607	5657	6445	5837
Pafah1b3	1358	1601	1886	1439	1525	1682
Prr19	2	1	1	4	2	9
NA	0	0	0	0	0	0
Tmem145	2	2	2	3	0	2
Megf8	5007	6267	9248	5566	6600	6750
Cnfn	0	1	0	0	0	0
NA	5	14	18	5	5	3
Lipe	480	909	1034	305	333	375
4732471J01Rik	34	43	53	12	18	6
NA	23	31	26	16	6	1
Cxcl17	623	2097	814	258	84	194
Ceacam1	4115	4667	3548	3089	3170	1953
Ceacam2	31	44	34	29	20	16
NA	0	0	0	0	0	0
Erich4	9	13	0	0	6	0
Dmac2	1253	1369	1746	1132	1232	1520
B3gnt8	2306	1295	1216	350	1126	342
Bckdha	2251	3382	3689	1683	2041	2609
Exosc5	1070	813	1305	779	1075	833
Tmem91	13	15	21	5	11	17
B9d2	368	471	715	859	872	1319
Tgfb1	1167	1300	1284	533	746	378
Ccdc97	2248	2009	3282	1838	2172	2046
NA	856	1399	1703	1156	1265	1794
Hnrnpul1	7461	9220	12419	7376	8512	9271
Axl	4189	7348	7264	3041	2751	1914
Cyp2s1	2268	1832	2190	17388	12321	29405
Cyp2b10	146	73	299	3041	2942	6030
Cyp2b13	3	0	0	3	1	0
Cyp2b9	0	0	1	0	2	2
Vmn1r184	0	0	0	0	0	0
Cyp2a4	0	0	0	2	3	6
Nlrp9c	0	0	0	0	0	0
Nlrp4a	0	0	0	2	0	0
Nlrp9a	0	0	0	0	0	0
Vmn1r185	0	0	0	0	0	0
Cyp2b23	0	0	2	0	1	0
Cyp2b19	11	6	32	37	49	59
Cyp2g1	1	2	6	29	29	55
Cyp2a5	32	116	242	874	740	2420
Cyp2a22	0	0	0	0	0	0
Cyp2a12	0	0	0	2	0	0
Cyp2f2	2534	8262	14860	5501	2968	10501
Cyp2t4	25	40	117	61	45	69
Egln2	2883	3311	5879	3668	3454	5146
Rab4b	1512	1413	2357	1444	1696	1271
Mir3101	17	39	66	15	20	25
Mia	12	21	32	14	13	27
Snrpa	2193	2302	3412	2596	3001	2560
Actmap	277	258	361	251	368	214
Mir1191	7	15	18	12	9	20
Itpkc	292	393	640	305	422	514
NA	0	0	0	0	0	0
Coq8b	1131	1118	1809	3505	3487	5779
Gm15567	75	48	94	107	169	204
Numbl	1348	1917	2834	1098	1051	1251
Ltbp4	25709	33998	43514	12031	16775	11911
Shkbp1	1028	845	1377	654	756	442
Sptbn4	41	28	84	129	116	140
Blvrb	938	1178	1266	432	407	612
Sertad3	649	792	1026	559	533	518
Sertad1	697	555	1098	812	817	951
Prx	322	438	738	188	173	211
Hipk4	46	75	129	31	30	30
Pld3	2973	4696	4805	4268	3788	5132
2310022A10Rik	705	850	1159	691	696	875
Akt2	3702	4730	6989	7415	6356	8819
Ttc9b	0	0	1	4	5	1
Map3k10	1187	1265	1895	1012	1211	1077
Zfp607b	128	144	215	161	220	268
Zfp60	1094	1386	1930	1220	1554	1506
Gm10046	16	23	31	19	37	28
NA	2	2	3	7	10	12
Zfp626	239	246	391	220	270	262
Zfp59	279	306	414	328	310	460
Zfp607a	172	155	310	152	179	196
Zfp974	369	427	644	542	619	845
Josd1-ps	80	114	115	81	83	99
Zfp780b	425	478	757	354	550	487
Zfp850	125	85	113	106	125	168
Psmc4	3105	2385	4069	3563	3897	3588
Fcgbp	3998	5274	3919	2298	1636	3057
Fcgbpl1	43	49	84	260	173	351
Fbl	2141	1471	2984	2287	2723	2056
Dyrk1b	1216	1491	2052	2143	2637	2750
Eid2	612	816	1020	582	552	805
Eid2b	454	528	808	430	526	604
Selenov	16	8	18	11	2	6
Dll3	0	0	2	2	0	2
Timm50	926	889	1277	1185	1167	1187
Supt5	6265	7311	9808	6047	7085	7674
Rps16	15363	17319	25918	11419	13301	16130
AF357399	9	9	10	0	6	3
Plekhg2	1597	2120	3344	1120	1390	947
Zfp36	1556	1567	2982	900	1100	1236
Med29	554	621	974	592	618	637
Paf1	2561	2894	4674	3138	3739	4652
Samd4b	3354	4038	5737	3982	4996	4799
Gmfg	187	213	247	112	124	111
Lrfn1	249	338	442	285	287	331
1700028B04Rik	0	0	0	0	0	0
Ifnl2	0	0	0	0	0	0
Ifnl3	0	0	0	0	0	0
Sycn	0	0	0	0	0	0
Nccrp1	10	8	9	8	2	6
Pak4	3326	3495	5132	4587	4795	5711
Acp7	68	101	179	89	46	87
Fbxo27	43	81	120	40	19	51
Fbxo17	92	156	209	236	234	336
Mrps12	1016	1137	1566	1035	1263	1121
Sars2	390	387	565	471	511	340
NA	0	2	2	0	0	0
Nfkbib	710	936	1225	770	834	1094
Sirt2	1835	2957	3854	2033	2189	3098
Gm19897	18	15	26	8	20	10
Rinl	250	278	264	93	97	84
Hnrnpl	10693	11409	16305	11895	12637	14401
Ech1	4643	6080	7726	6212	5951	7418
Lgals4	348	555	1008	584	551	1100
Gm10648	5	0	16	6	10	16
Lgals7	137	188	197	259	138	136
Capn12	54	43	62	78	123	91
Actn4	18245	17909	31401	15476	17774	18966
Eif3k	3712	4644	6645	3391	3481	4860
Map4k1	106	129	187	68	59	73
Ryr1	17	44	33	16	24	50
